============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca  188 | train 0.62514 | val 0.62430 | AUC 0.7037 | lr 0.001164 | mom 0.984 | 245.7 min
epoca  189 | train 0.62511 | val 0.62621 | AUC 0.7032 | lr 0.001141 | mom 0.985 | 246.7 min
epoca  190 | train 0.62518 | val 0.62377 | AUC 0.7047 | lr 0.001119 | mom 0.985 | 247.7 min
epoca  191 | train 0.62512 | val 0.62433 | AUC 0.7046 | lr 0.001096 | mom 0.986 | 248.8 min
epoca  192 | train 0.62520 | val 0.62458 | AUC 0.7041 | lr 0.001075 | mom 0.986 | 249.8 min
epoca  193 | train 0.62525 | val 0.62570 | AUC 0.7026 | lr 0.001053 | mom 0.986 | 250.8 min
epoca  194 | train 0.62524 | val 0.62374 | AUC 0.7048 | lr 0.001033 | mom 0.987 | 251.8 min
epoca  195 | train 0.62531 | val 0.62476 | AUC 0.7043 | lr 0.001012 | mom 0.987 | 252.8 min
epoca  196 | train 0.62532 | val 0.62442 | AUC 0.7039 | lr 0.000992 | mom 0.988 | 253.9 min
epoca  197 | train 0.62541 | val 0.62460 | AUC 0.7038 | lr 0.000972 | mom 0.988 | 254.9 min
epoca  198 | train 0.62546 | val 0.62501 | AUC 0.7030 | lr 0.000953 | mom 0.989 | 255.9 min
epoca  199 | train 0.62550 | val 0.62509 | AUC 0.7024 | lr 0.000934 | mom 0.989 | 256.9 min
epoca  200 | train 0.62551 | val 0.62533 | AUC 0.7020 | lr 0.000916 | mom 0.990 | 257.9 min
epoca  201 | train 0.62563 | val 0.62378 | AUC 0.7046 | lr 0.000898 | mom 0.990 | 258.9 min

