============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca  175 | train 0.53171 | val 0.53705 | AUC 0.8077 | lr 0.001510 | mom 0.978 | 233.9 min
epoca  176 | train 0.53160 | val 0.53086 | AUC 0.8087 | lr 0.001480 | mom 0.979 | 235.2 min
epoca  177 | train 0.53167 | val 0.52939 | AUC 0.8099 | lr 0.001451 | mom 0.979 | 236.5 min
epoca  178 | train 0.53166 | val 0.53107 | AUC 0.8089 | lr 0.001422 | mom 0.980 | 237.9 min
epoca  179 | train 0.53169 | val 0.52992 | AUC 0.8092 | lr 0.001394 | mom 0.980 | 239.2 min
epoca  180 | train 0.53166 | val 0.52970 | AUC 0.8093 | lr 0.001366 | mom 0.981 | 240.3 min
epoca  181 | train 0.53163 | val 0.52965 | AUC 0.8097 | lr 0.001339 | mom 0.981 | 241.4 min
epoca  182 | train 0.53159 | val 0.53021 | AUC 0.8092 | lr 0.001313 | mom 0.981 | 242.7 min
epoca  183 | train 0.53163 | val 0.53079 | AUC 0.8092 | lr 0.001287 | mom 0.982 | 243.9 min
epoca  184 | train 0.53166 | val 0.52922 | AUC 0.8097 | lr 0.001261 | mom 0.982 | 245.0 min
epoca  185 | train 0.53160 | val 0.53266 | AUC 0.8097 | lr 0.001236 | mom 0.983 | 246.1 min
epoca  186 | train 0.53161 | val 0.53005 | AUC 0.8093 | lr 0.001212 | mom 0.983 | 247.1 min
epoca  187 | train 0.53159 | val 0.52946 | AUC 0.8100 | lr 0.001188 | mom 0.984 | 248.1 min
epoca  188 | train 0.53160 | val 0.53167 | AUC 0.8077 | lr 0.001164 | mom 0.984 | 249.2 min
epoca  189 | train 0.53157 | val 0.53112 | AUC 0.8094 | lr 0.001141 | mom 0.985 | 250.2 min
epoca  190 | train 0.53162 | val 0.52950 | AUC 0.8095 | lr 0.001119 | mom 0.985 | 251.2 min
epoca  191 | train 0.53160 | val 0.53624 | AUC 0.8089 | lr 0.001096 | mom 0.986 | 252.3 min
epoca  192 | train 0.53174 | val 0.53108 | AUC 0.8097 | lr 0.001075 | mom 0.986 | 253.3 min
epoca  193 | train 0.53182 | val 0.53498 | AUC 0.8092 | lr 0.001053 | mom 0.986 | 254.3 min
epoca  194 | train 0.53164 | val 0.53002 | AUC 0.8096 | lr 0.001033 | mom 0.987 | 255.3 min
epoca  195 | train 0.53156 | val 0.52977 | AUC 0.8095 | lr 0.001012 | mom 0.987 | 256.3 min
epoca  196 | train 0.53156 | val 0.53006 | AUC 0.8097 | lr 0.000992 | mom 0.988 | 257.3 min
epoca  197 | train 0.53150 | val 0.53209 | AUC 0.8085 | lr 0.000972 | mom 0.988 | 258.3 min
epoca  198 | train 0.53157 | val 0.53945 | AUC 0.8086 | lr 0.000953 | mom 0.989 | 259.0 min
epoca  199 | train 0.53168 | val 0.52930 | AUC 0.8101 | lr 0.000934 | mom 0.989 | 259.5 min
epoca  200 | train 0.53169 | val 0.52956 | AUC 0.8093 | lr 0.000916 | mom 0.990 | 260.1 min
